"pair","synergy","class"
"698037:713563",-4.1687426,0.0
"721517:752",-0.1889185,0.0
"747974:763371",+1.4804878,0.0
"743414:19893",-0.6802407,0.0
"712807:34462",+2.4833574,1.0
"85998:756645",-8.1601685,0.0
"246131:757441",-1.6889944,0.0
"743414:737754",-4.3621450,0.0
"754143:71423",-2.5587407,0.0
"109724:169780",-1.1183056,0.0
"755:141540",-3.3706926,0.0
"6396:760766",-3.4395944,0.0
"409962:71423",-3.5627185,0.0
"49842:737754",+6.0660963,1.0
"702294:3088",-7.2887741,0.0
"752:761432",-0.8524944,0.0
"1390:756645",-2.0451224,0.0
"747971:608210",+3.1177296,1.0
"755:79037",-4.9690866,0.0
"747599:34462",-2.7302667,0.0
"118218:79037",-2.1733778,0.0
"79037:757441",-1.8338426,0.0
"279836:737754",+0.8051389,0.0
"606869:755986",-0.1588606,0.0
"369100:698037",-0.3599370,0.0
"180973:755986",-0.3292731,0.0
"606869:747972",-1.5046870,0.0
"246131:698037",-2.2085870,0.0
"606869:747974",-2.0315481,0.0
"750:608210",-1.0364463,0.0
"66847:752",-0.6569167,0.0
"169780:761432",-2.7263723,0.0
"32065:749226",-2.2674896,0.0
"26980:82151",-1.0783500,0.0
"673596:13875",-2.5381782,0.0
"71423:698037",-7.3763000,0.0
"702294:141540",+0.5022204,0.0
"66847:122819",-0.9371352,0.0
"71423:82151",+4.0700207,1.0
"761432:747974",+12.5031111,1.0
"82151:698037",-2.5453409,0.0
"756645:45388",-3.4529667,0.0
"673596:761432",+0.0049980,0.0
"750:169780",-0.9824241,0.0
"673596:45388",-1.7253429,0.0
"38721:760766",-0.9342407,0.0
"109724:141540",+0.6427981,0.0
"755:747974",-4.0239593,0.0
"755:747972",-0.8870333,0.0
"19893:713563",-2.7237148,0.0
"125066:761432",-1.2018795,0.0
"628503:749226",+9.6567963,1.0
"27640:122819",-5.0008418,0.0
"122819:747974",-0.0949000,0.0
"138783:34462",-0.1198056,0.0
"102816:141540",+1.6988778,1.0
"138783:82151",+3.8476222,1.0
"122819:747972",-3.0211525,0.0
"712807:763371",-4.5116519,0.0
"34462:715055",-3.0710389,0.0
"719276:279836",+7.5048093,1.0
"701852:737754",-4.0122648,0.0
"218321:713563",-0.5156519,0.0
"67574:279836",+6.3865232,1.0
"719345:34462",-1.6019296,0.0
"79037:169780",-3.5653037,0.0
"719344:122819",+1.2465907,1.0
"740:737754",-3.3022881,0.0
"279836:749226",+1.8498907,1.0
"715055:756645",+5.1324852,1.0
"218321:19893",+0.2358833,0.0
"733504:79037",-5.6075352,0.0
"122758:279836",+0.1420593,0.0
"362856:34462",+2.0467031,1.0
"122819:761432",-3.2102842,0.0
"8806:755986",-5.0898154,0.0
"702294:713563",-30.7252037,0.0
"606869:8806",-2.2480278,0.0
"82151:737754",-0.9624689,0.0
"14229:715055",+6.5296743,1.0
"13875:169780",-3.5011630,0.0
"63878:749226",-0.8863130,0.0
"18509:755986",-4.1927796,0.0
"745750:760766",-4.2248407,0.0
"8806:760766",-3.0267907,0.0
"628503:698037",-2.0719481,0.0
"719627:141540",+2.7848537,1.0
"45388:169780",-4.1656347,0.0
"82151:763371",-5.3696852,0.0
"19893:279836",-3.7688296,0.0
"125973:45388",-2.2411241,0.0
"218321:761432",-1.5720444,0.0
"719344:761432",+0.3927798,0.0
"296961:757441",-2.3847352,0.0
"756645:279836",+5.3660885,1.0
"92859:715055",-4.2539228,0.0
"122758:79037",+0.1707352,0.0
"760766:757441",-1.0921407,0.0
"747974:760766",+4.3194907,1.0
"63878:737754",-3.1675852,0.0
"38721:71423",-2.9661296,0.0
"718781:715055",+1.7727333,1.0
"85998:747974",-7.2102296,0.0
"85998:747972",-2.4258352,0.0
"686673:747974",-5.6025278,0.0
"686673:747972",-3.7249315,0.0
"686673:715055",+2.3119556,1.0
"732517:8806",-0.5945763,0.0
"19893:608210",-1.8049925,0.0
"719344:608210",+0.7130111,0.0
"45923:763371",-5.0460998,0.0
"8806:34462",-0.8183130,0.0
"732517:82151",+4.6016215,1.0
"26980:757441",-1.9288167,0.0
"719344:71423",-4.8356259,0.0
"750690:141540",-2.1279492,0.0
"761432:755986",+15.8250167,1.0
"25154:13875",-5.7484889,0.0
"719276:13875",-7.2371074,0.0
"628503:82151",-1.4058768,0.0
"754230:71423",-4.8224759,0.0
"32065:122819",+1.9325500,1.0
"279836:757441",-1.2528004,0.0
"26271:82151",-0.5351778,0.0
"743414:34462",-2.6227870,0.0
"125973:79037",-0.1689540,0.0
"27640:737754",-1.2508444,0.0
"362856:749226",-7.2704222,0.0
"18509:19893",+0.0777796,0.0
