"pair","synergy","class"
"CEF:TOB",1.51,"antagonistic"
"RIF:TET",-0.252,"additive"
"AMK:TET",0.7785,"antagonistic"
"CIP:GEN",1.1475,"antagonistic"
"CEF:GEN",0.2985,"additive"
"LEV:NAL",-0.782,"synergistic"
"NAL:TRI",1.214,"antagonistic"
"TET:TOB",1.2425,"antagonistic"
"CLA:TOB",0.936,"antagonistic"
"RIF:SPE",0.319,"additive"
"LEV:NIT",1.181,"antagonistic"
"AMK:VAN",1.056,"antagonistic"
"AMK:RIF",1.0995,"antagonistic"
"CHL:RIF",0.244,"additive"
"CHL:OXA",1.213,"antagonistic"
"CIP:NIT",1.7135,"antagonistic"
"TRI:VAN",-1.305,"synergistic"
"CIP:ERY",1.403,"antagonistic"
"FUS:TET",-0.5165,"synergistic"
"CLA:NIT",0.1915,"additive"
"FUS:TRI",1.6485,"antagonistic"
"CLA:GEN",0.442,"additive"
"CLA:LEV",1.387,"antagonistic"
"NIT:TET",1.607,"antagonistic"
"LEV:TRI",-0.0935,"additive"
"ERY:TOB",1.501,"antagonistic"
"NIT:VAN",0.397,"additive"
"CLA:RIF",-0.3265,"additive"
"TET:VAN",-1.018,"synergistic"
"ERY:VAN",0.026,"additive"
"CHL:TRI",2.698,"antagonistic"
"CLA:VAN",-0.065,"additive"
"RIF:VAN",0.79,"antagonistic"
"NAL:OXA",1.4785,"antagonistic"
"AMK:CLA",-0.326,"additive"
"NAL:TOB",2.8715,"antagonistic"
"CLA:TET",-0.9095,"synergistic"
"CEF:CLA",0.1665,"additive"
"CLA:ERY",-0.173,"additive"
"AMK:OXA",0.5415,"antagonistic"
"LEV:TOB",2.4245,"antagonistic"
"AMK:FUS",-0.5495,"synergistic"
"CHL:SPE",-0.1235,"additive"
"CHL:TET",-0.6835,"synergistic"
"ERY:NIT",0.593,"antagonistic"
"AMK:TRI",-0.3415,"additive"
"OXA:SPE",0.1435,"additive"
"ERY:LEV",0.9045,"antagonistic"
"CIP:SPE",3.514,"antagonistic"
"CLA:FUS",-1.368,"synergistic"
"NIT:OXA",3.345,"antagonistic"
"CIP:LEV",-0.01,"additive"
"AMK:GEN",0.734,"antagonistic"
"CHL:NIT",1.2535,"antagonistic"
"ERY:RIF",0.134,"additive"
"AMK:SPE",2.215,"antagonistic"
"CEF:NAL",2.0255,"antagonistic"
"CEF:TET",-0.0315,"additive"
"GEN:NAL",1.4745,"antagonistic"
"CIP:NAL",0.235,"additive"
"CHL:LEV",4.394,"antagonistic"
"OXA:RIF",0.909,"antagonistic"
"ERY:TRI",0.8745,"antagonistic"
"CHL:VAN",0.081,"additive"
"ERY:TET",-0.787,"synergistic"
"CIP:OXA",0.7745,"antagonistic"
"CHL:ERY",-0.7355,"synergistic"
"FUS:NIT",1.1785,"antagonistic"
"AMK:NAL",0.7145,"antagonistic"
"ERY:NAL",1.818,"antagonistic"
"FUS:OXA",-1.307,"synergistic"
"NIT:TRI",-0.1965,"additive"
